#group,false,false,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,
,result,table,_start,_time,_value,_field,_measurement
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,-9.66599,latitude,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,-35.735,longitude,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,1,_packetloss,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,5,_packetin,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,30,_packetout,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,1,_delay,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,2,_rtt,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,3,_trafficin,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,4,_trafficout,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,20,threshold,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,1000,_size,IF-AL-maceio
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,-9.75164,latitude,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,-36.6604,longitude,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,1,_packetloss,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,5,_packetin,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,30,_packetout,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,1,_delay,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,2,_rtt,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,3,_trafficin,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,4,_trafficout,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,20,threshold,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,10,_size,IF-AL-arapiraca
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,-9.66526,latitude,IF-AL-batalha
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,-37.1325,longitude,IF-AL-batalha
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,1,_packetloss,IF-AL-batalha
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,5,_packetin,IF-AL-batalha
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,30,_packetout,IF-AL-batalha
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,1,_delay,IF-AL-batalha
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,2,_rtt,IF-AL-batalha
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,3,_trafficin,IF-AL-batalha
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,4,_trafficout,IF-AL-batalha
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,20,threshold,IF-AL-batalha
,,0,2022-11-16T10:00:00Z,2022-11-16T10:00:00Z,10,_size,IF-AL-batalha
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,-9.66599,latitude,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,-35.735,longitude,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,1,_packetloss,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,5,_packetin,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,30,_packetout,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,1,_delay,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,2,_rtt,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,3,_trafficin,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,4,_trafficout,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,20,threshold,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,1000,_size,IF-AL-maceio
,,0,2022-11-16T10:05:00Z,2022-11-16T10:05:00Z,-9.75164,latitude,IF-AL-arapiraca
